,0,1,2,3,4,5,6
49,2,6,50000,0.9564939387474849,0.6022261952823116,0.9587918762432048,0.5949850255446592
50,2,8,500,0.9565232810496611,0.5135820981602168,0.9588544688330384,0.6000569044006071
51,2,8,1000,0.9567639487948673,0.634061941288425,0.959098348746967,0.6585221462784565
52,2,8,10000,0.9570948344647922,0.6247188419170656,0.9594014437193565,0.6287442231984938
53,2,8,20000,0.9574310443828061,0.5986504412019148,0.9597029992204377,0.5914401455997181
54,2,8,50000,0.9577468425501295,0.6025145625468596,0.9599827563718697,0.595397440413291
55,2,10,500,0.9578226488759971,0.521887075379203,0.9600870284188016,0.6005204317656131
56,2,10,1000,0.9581073095067775,0.6526327931253244,0.9603707649600046,0.671717446994059
57,2,10,10000,0.9584175281359707,0.6520560585962282,0.960654937969372,0.6642924712036059
58,2,10,20000,0.9587485911438369,0.6424245919603206,0.9609542676036195,0.6509402094358743
59,2,10,50000,0.9590631134853462,0.6387334909741046,0.9612356610157732,0.6463414634146342
60,2,12,500,0.9590468399556072,0.5233865851548533,0.961249196662116,0.6016197454685693
61,2,12,1000,0.9592728297276231,0.6473268354576388,0.9614775684968496,0.6620239871773614
62,2,12,10000,0.9595558005351208,0.6518253647845896,0.9617370941300766,0.655913365631234
63,2,12,20000,0.9598525895228545,0.6464040602110849,0.9620053530269022,0.6565458517730098
64,2,12,50000,0.9601314728785523,0.6407520618259415,0.9622544150138076,0.6562172305314864
65,2,14,500,0.9600390204386458,0.5285771959167196,0.9621964296588299,0.6058823529411764
66,2,14,1000,0.9602039322053957,0.6427706326777785,0.9623662695492763,0.6655146344097634
67,2,14,10000,0.9604700448317809,0.6589191994924736,0.96261050859248,0.6684234133213725
68,2,14,20000,0.9607364260059593,0.659322913662841,0.9628509256159336,0.6767715458276333
69,2,14,50000,0.9609870487721941,0.6603610358152142,0.9630741887685217,0.6697324883629634
70,3,2,500,0.9604072188972486,0.4980679393275275,0.9626042741889598,0.5833293436108584
71,3,2,1000,0.9599984436006167,0.591210565776573,0.9622537078281749,0.5688039907531329
72,3,2,10000,0.9596162905663791,0.590287790530019,0.9618859073949327,0.5450236966824644
73,3,2,20000,0.9592289006435206,0.5840013841628698,0.9614989659678193,0.5203165525038238
74,3,2,50000,0.9588301143267802,0.5850971797681527,0.9610975162168619,0.5159467097295115
75,3,4,500,0.958898528767806,0.5346329084722302,0.9611895430271129,0.6295395069096918
76,3,4,1000,0.9590295621449758,0.6491147124978373,0.961327111472146,0.6847668393782383
77,3,4,10000,0.959183044530312,0.6549974046946191,0.9614633663195844,0.679935794542536
78,3,4,20000,0.9593826309278726,0.6313512890016725,0.9616398048601054,0.6594928617089282
79,3,4,50000,0.9595775981861041,0.6426552857719592,0.9618103535005011,0.6650810810810812
80,3,6,500,0.9596325613176923,0.531287848203472,0.9618855785668049,0.6139375801624626
81,3,6,1000,0.9598200727754042,0.6396562662206586,0.9620734750262092,0.6638691629007962
82,3,6,10000,0.9600005681612571,0.6414441432608571,0.9622371670963233,0.6475423776858098
83,3,6,20000,0.9601993783047262,0.6067823980621719,0.962414444797006,0.5989411764705882
84,3,6,50000,0.9603932681554095,0.6134725185996885,0.9625856454759426,0.6040879017013232
85,3,8,500,0.960365765167608,0.5290385835399966,0.9625877159386039,0.5999020088192064
86,3,8,1000,0.9604994713130375,0.6406367149201223,0.9627254842979007,0.6684403767360187
87,3,8,10000,0.9606574487947246,0.6392525520502913,0.9628681684177391,0.6445012787723786
88,3,8,20000,0.9608354625179598,0.6064363573447142,0.9630261614718583,0.5980207351555137
89,3,8,50000,0.9610126241745958,0.6138185593171464,0.9631821494305556,0.6048625044258231
90,3,10,500,0.9610013733102398,0.5444950689197763,0.9631962641731409,0.6093193510091017
91,3,10,1000,0.9611099268484968,0.6640521368014303,0.9633083352075615,0.6872483221476511
92,3,10,10000,0.9612850909770098,0.6631293615548763,0.9634675536760805,0.6734499916140213
93,3,10,20000,0.9614607896957404,0.6482496107041928,0.9636238820041266,0.6584915168822443
94,3,10,50000,0.9616447814636083,0.6616875252321357,0.963787317390627,0.673094070441373
95,3,12,500,0.961544198276677,0.5530307399504009,0.9637216994863764,0.6151554275499057
96,3,12,1000,0.9616107323129998,0.6517100178787704,0.9637942266731712,0.6742542747721021
97,3,12,10000,0.9616993910455128,0.6602456889093951,0.9638688591756398,0.6622713982686464
98,3,12,20000,0.9618155607796496,0.6396562662206586,0.9639674697910132,0.635812543716484
99,3,12,50000,0.9619374039276372,0.6446161831708864,0.9640698690415288,0.6513522688695259
100,3,14,500,0.9618194733002767,0.5599515542995559,0.9639833894531905,0.6253927729772191
101,3,14,1000,0.9618214176971385,0.6673971970701886,0.9639956473012772,0.6950452117815028
102,3,14,10000,0.9618765513777505,0.652690466578234,0.964038825627569,0.6569833675096833
103,3,14,20000,0.9619753380905856,0.6489416921391084,0.9641205824384279,0.6517933756650077
104,3,14,50000,0.9620620487707439,0.6482496107041928,0.964189656003291,0.6466601008052836
