,Components,l,pol,class,map_logp,Marg. Likelihood,Modified Prior,model,gelRub,accTrain,accTest,f1Train,f1Test
34,2,True,3,ecl,-inf,-1937.48993880352,normal,RL,"{'mean1': 1.0101698524277811, 'Intercept': 1.0679456736711226, 'col0': 1.0598360131242957, 'col1': 1.0348333544824913, 'col2': 1.040339940406192, 'col3': 1.4958003247232556, 'col4': 1.125533488877348, 'col5': 1.3577827656897856}",0.93,0.44,0.93,0.36
35,2,True,3,rrlyr,-inf,-1877.20514625278,student,RL,"{'mean1': 1.0009160722726154, 'Intercept': 1.026681874759157, 'col0': 1.023045653988322, 'col1': 1.0329000214294082, 'col2': 1.0312774426546416, 'col3': 1.034209640783117, 'col4': 1.0022900954100624, 'col5': 1.0777807219483688}",0.94,0.61,0.94,0.57
36,2,True,3,cep,-inf,-1877.20514625278,student,RL,"{'mean1': 0.9997775064343343, 'Intercept': 1.0003939444103596, 'col0': 1.00760261386035, 'col1': 0.999516945492018, 'col2': 0.999560756377101, 'col3': 1.0072767008161767, 'col4': 0.9997498138167732, 'col5': 1.0153199187871977}",0.92,0.60,0.92,0.53
37,2,True,3,dsct,-671.09849637215,-670.973594900627,student,RL,"{'mean1': 1.0008365759531248, 'Intercept': 1.052612498113301, 'col0': 1.0083067414398756, 'col1': 1.0976008002924929, 'col2': 1.2007073306175184, 'col3': 1.0644999569640452, 'col4': 1.1335586090370973, 'col5': 1.1169339954027349}",0.92,0.67,0.92,0.41
38,2,True,3,lpv,-inf,-670.973594900627,student,RL,"{'mean1': 1.0023796443235147, 'Intercept': 0.9995022959993087, 'col0': 0.9997052871247597, 'col1': 1.020161905850076, 'col2': 1.000173099869316, 'col3': 1.0109894663915189, 'col4': 1.0069191696523365, 'col5': 1.0275135912725042}",0.88,0.66,0.88,0.73
39,2,True,3,ecl,-inf,-670.973594900627,student,RL,"{'mean1': 0.9997452475198598, 'Intercept': 1.0185740519587991, 'col0': 1.0126813633589224, 'col1': 1.0495998552244046, 'col2': 1.0010558801518628, 'col3': 1.0359097716349748, 'col4': 0.9996212003915446, 'col5': 0.999580440254638}",0.93,0.44,0.93,0.37
40,2,True,3,rrlyr,-inf,-1762.54653485667,laplace,RL,"{'mean1': 0.9996626380537309, 'Intercept': 1.0008540186334545, 'col0': 1.0288710019698701, 'col1': 0.9995702734590991, 'col2': 1.0845850100387138, 'col3': 1.000008317313695, 'col4': 1.0304848238897182, 'col5': 1.0010946001608465}",0.94,0.62,0.94,0.59
41,2,True,3,cep,-inf,-1762.54653485667,laplace,RL,"{'mean1': 1.0183109878658039, 'Intercept': 1.0126429173665534, 'col0': 1.0001883614504492, 'col1': 1.0283756985494896, 'col2': 1.0035536832762728, 'col3': 1.0330483088483609, 'col4': 1.004617480887521, 'col5': 1.013567216374309}",0.92,0.59,0.92,0.53
42,2,True,3,dsct,-695.205607924307,-695.13884337273,laplace,RL,"{'mean1': 0.9999248508073125, 'Intercept': 0.9997030738616915, 'col0': 1.042668913848033, 'col1': 1.0096498895782897, 'col2': 1.0289696467881726, 'col3': 0.9995034951837012, 'col4': 1.0581965999080156, 'col5': 1.0062782751857315}",0.92,0.67,0.92,0.43
43,2,True,3,lpv,-inf,-3090.18471018045,laplace,RL,"{'mean1': 0.9995266739336919, 'Intercept': 1.001586075577536, 'col0': 0.9997608169206837, 'col1': 1.016333609791954, 'col2': 1.00034801592848, 'col3': 1.005806325008814, 'col4': 0.9995140244072118, 'col5': 1.0414505910745984}",0.88,0.66,0.88,0.73
44,2,True,3,ecl,-inf,-3090.18471018045,laplace,RL,"{'mean1': 1.001830666695469, 'Intercept': 1.0004638214040562, 'col0': 1.0030336399805624, 'col1': 1.058508904251573, 'col2': 1.0629680502243914, 'col3': 1.1672156088151093, 'col4': 1.1100988201110216, 'col5': 1.1754307110447373}",0.93,0.44,0.93,0.36
45,4,True,1,rrlyr,-1334.96160319486,-1342.20582134358,normal,RL,"{'mean1': 1.0049641979057384, 'Intercept': 1.000334704234304, 'col0': 1.0182099832449871, 'col1': 1.0387828325921193, 'col2': 1.0279387375780529, 'col3': 1.01167949005136}",0.97,0.64,0.97,0.65
46,4,True,1,cep,-1109.4643138708,-1117.1908563504,normal,RL,"{'mean1': 1.0008335769915802, 'Intercept': 1.001914241813538, 'col0': 0.9995547569746027, 'col1': 1.00137302466261, 'col2': 1.0019691805953639, 'col3': 1.0038508044062493}",0.92,0.60,0.92,0.54
47,4,True,1,dsct,-321.611040050099,-324.705691408868,normal,RL,"{'mean1': 1.0584174855466473, 'Intercept': 0.9998747448416401, 'col0': 1.2019070155262266, 'col1': 1.1733428934272998, 'col2': 1.156137355633206, 'col3': 1.1005626681743221}",0.97,0.55,0.97,0.36
48,4,True,1,lpv,-1260.74701338862,-1268.16724872389,normal,RL,"{'mean1': 0.9996143855389668, 'Intercept': 1.001595255734142, 'col0': 1.0020370602641109, 'col1': 1.0125591273200845, 'col2': 1.001686649282229, 'col3': 1.0143542665479852}",0.98,0.71,0.98,0.79
49,4,True,1,ecl,-inf,-1602.66878631245,normal,RL,"{'mean1': 0.9996199102031462, 'Intercept': 1.0004160333534355, 'col0': 0.9996719611918575, 'col1': 0.9999367880698476, 'col2': 0.999658309399953, 'col3': 1.0012962974401816}",0.96,0.55,0.96,0.47
50,4,True,1,rrlyr,-inf,-1328.34750748997,student,RL,"{'mean1': 1.001164004727084, 'Intercept': 1.0273964105823536, 'col0': 1.0001429649581155, 'col1': 1.0002650302788607, 'col2': 0.9995641766274528, 'col3': 1.019295912190911}",0.97,0.64,0.97,0.65
51,4,True,1,cep,-1111.48840697154,-1111.3946475975,student,RL,"{'mean1': 0.9996039108156571, 'Intercept': 1.0014624800209901, 'col0': 1.0052118667706054, 'col1': 1.0113204027306948, 'col2': 0.9995303297689982, 'col3': 1.0025513664623418}",0.92,0.60,0.92,0.54
52,4,True,1,dsct,-290.603432012067,-284.754917869881,student,RL,"{'mean1': 0.9995011554587676, 'Intercept': 0.9999170072444598, 'col0': 0.9995898693298089, 'col1': 0.999499890958864, 'col2': 0.9997531658186494, 'col3': 1.0037748853564543}",0.97,0.50,0.97,0.30
53,4,True,1,lpv,-inf,-1512.34080696253,student,RL,"{'mean1': 0.9995006298996554, 'Intercept': 1.0097612327207317, 'col0': 1.0014508464090226, 'col1': 1.0008518218467484, 'col2': 1.0241182764750534, 'col3': 0.9996159088530064}",0.97,0.77,0.97,0.83
54,4,True,1,ecl,-1783.54440727931,-1783.80423640926,student,RL,"{'mean1': 1.0053887399336248, 'Intercept': 1.0003241521665713, 'col0': 1.0284338395405215, 'col1': 1.154678255273336, 'col2': 1.1295699859732713, 'col3': 1.0448953829863088}",0.95,0.53,0.95,0.42
55,4,True,1,rrlyr,-1579.43607360231,-1579.55571181773,laplace,RL,"{'mean1': 1.000674317106181, 'Intercept': 1.0013057085542028, 'col0': 0.9995055166713346, 'col1': 0.9998784090973626, 'col2': 0.9994999521092378, 'col3': 0.9995562149979053}",0.96,0.64,0.96,0.65
56,4,True,1,cep,-1126.4858835328,-1126.39856163428,laplace,RL,"{'mean1': 1.0002601606598647, 'Intercept': 1.0034009870547966, 'col0': 0.9995765891971283, 'col1': 1.0008320487497109, 'col2': 1.0025979541777104, 'col3': 1.0001334080751472}",0.92,0.60,0.92,0.54
57,4,True,1,dsct,-304.645651957144,-298.740958038139,laplace,RL,"{'mean1': 0.9997023017637854, 'Intercept': 1.0559736211453072, 'col0': 1.5213521469239009, 'col1': 1.6270427571024055, 'col2': 1.6308384340759612, 'col3': 1.0639467866791787}",0.96,0.48,0.96,0.26
